Ref,Val,Package,PosX,PosY,Rot,Side
"C27","100u","CP_Radial_D8.0mm_P3.50mm",127.702651,-156.900000,180.000000,bottom
"C28","100u","CP_Radial_D8.0mm_P3.50mm",104.467397,-149.237437,135.000000,bottom
"C31","100u","CP_Radial_D8.0mm_P3.50mm",109.647349,-150.200000,0.000000,bottom
"C43","100u","CP_Radial_D8.0mm_P3.50mm",92.050000,-68.647349,-90.000000,bottom
"C44","100u","CP_Radial_D8.0mm_P3.50mm",104.197349,-66.550000,0.000000,bottom
"J12","18650 holder","MYOUNG MY-18650-01",86.000000,-91.200000,-90.000000,bottom
"R13","1k","R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical",56.490000,-160.000000,180.000000,bottom
"R22","1","R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal",132.260000,-121.400000,180.000000,bottom
"R47","50m","R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal",127.234205,-141.584205,135.000000,bottom
"U7","LT3080xQ","TO-263-5_TabPin3",118.400000,-102.750000,-90.000000,bottom
