Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,114.15,-133.85,0.0,top
C2,1u,C_0402_1005Metric,96.35,-111.3,90.0,top
C3,100p,C_0402_1005Metric,124.4,-133.7,180.0,top
C4,1u,C_0402_1005Metric,96.35,-107.35,-90.0,top
C5,100n,C_0603_1608Metric,95.425,-105.65,180.0,top
C6,100n,C_0603_1608Metric,59.35,-154.525,90.0,top
C7,100n,C_0603_1608Metric,64.0,-154.55,90.0,top
C8,10u@50V,C_0805_2012Metric,100.7,-90.75,180.0,top
C9,10u,C_1206_3216Metric,105.3,-69.6,0.0,top
C10,10u,C_1206_3216Metric,105.302651,-72.1,0.0,top
C11,100n,C_0603_1608Metric,115.59,-89.875,-90.0,top
C12,10u,C_0805_2012Metric,96.7,-85.45,180.0,top
C13,10u,C_1206_3216Metric,89.45,-70.2,-90.0,top
C14,10u,C_1206_3216Metric,87.05,-70.2,-90.0,top
C15,100n,C_0603_1608Metric,99.55,-157.05,-90.0,top
C16,1u,C_0402_1005Metric,89.4,-146.27,-90.0,top
C17,4n7,C_0402_1005Metric,128.4,-74.0,0.0,top
C18,1u,C_0402_1005Metric,131.42,-74.15,0.0,top
C19,1u,C_0402_1005Metric,112.25,-91.91,90.0,top
C20,1u,C_0402_1005Metric,52.03,-133.75,0.0,top
C21,100n,C_0603_1608Metric,121.15,-134.7,-90.0,top
C22,100p,C_0603_1608Metric,133.35,-100.0,90.0,top
C23,100n,C_0603_1608Metric,65.15,-101.45,-90.0,top
C24,10u,C_0603_1608Metric,61.7,-89.15,90.0,top
C25,10u,C_0603_1608Metric,61.75,-85.95,90.0,top
C26,10u@50V,C_0805_2012Metric,131.9,-68.6,90.0,top
C27,100u,CP_Radial_D8.0mm_P3.50mm,126.05,-156.9,0.0,bottom
C28,100u,CP_Radial_D8.0mm_P3.50mm,103.5,-148.0,45.0,bottom
C29,10u,C_0603_1608Metric,52.055,-135.05,180.0,top
C30,10u,C_0603_1608Metric,52.03,-136.6,180.0,top
C31,100u,CP_Radial_D8.0mm_P3.50mm,111.3,-150.2,180.0,bottom
C32,4n7,C_0402_1005Metric,101.65,-141.05,-90.0,top
C33,1u,C_0402_1005Metric,101.65,-143.7,-90.0,top
C34,100n,C_0603_1608Metric,131.6,-71.95,-90.0,top
C35,100n,C_0603_1608Metric,105.3,-146.8,180.0,top
C36,100n,C_0603_1608Metric,105.3,-145.25,180.0,top
C37,100p,C_0402_1005Metric,124.5,-125.05,180.0,top
C38,100p,C_0402_1005Metric,101.2,-150.35,180.0,top
C39,100n,C_0603_1608Metric,91.95,-152.675,90.0,top
C40,10u@50V,C_0805_2012Metric,90.15,-152.625,-90.0,top
C41,100n,C_0603_1608Metric,98.35,-96.45,180.0,top
C42,10u@50V,C_0805_2012Metric,104.9,-93.0,-90.0,top
C43,100u,CP_Radial_D8.0mm_P3.50mm,92.05,-70.3,270.0,bottom
C44,100u,CP_Radial_D8.0mm_P3.50mm,105.85,-66.55,180.0,bottom
C45,100n,C_0603_1608Metric,103.575,-122.84,0.0,top
C47,1u,C_0402_1005Metric,58.65,-141.8,90.0,top
D1,B5819W_SL,D_SOD-123,97.6,-88.9,-90.0,top
D2,1N5819WS,D_SOD-323,97.9,-80.35,0.0,top
D3,1N5819WS,D_SOD-323,92.95,-80.4,180.0,top
D4,SS54,D_SMA,128.9,-100.6,180.0,top
D5,LED_Small,LED_0805_2012Metric,53.15,-110.45,180.0,top
D6,LED_Small,LED_0805_2012Metric,53.15,-108.45,180.0,top
D7,SS54,D_SMA,95.2,-157.2,0.0,top
D8,ZMMxx,D_MiniMELF,62.2,-143.25,0.0,top
D9,ZMMxx,D_MiniMELF,56.75,-144.1,0.0,top
D11,green,LED_0805_2012Metric,57.4,-82.9,0.0,top
D12,green,LED_0805_2012Metric,57.4,-84.895,0.0,top
FID2,Fiducial,Fiducial_0.5mm_Mask1.5mm,145.0,-160.05,0.0,top
HS1,Heatsink,heatsink1,142.2,-108.2,90.0,top
J1,USB_B,USB_A_CONNFLY_DS1095-WNR0,52.1,-95.7,-90.0,top
J2,LCD_conn,PinHeader_1x06_P2.54mm_Vertical,66.6,-158.7,90.0,top
J3,Jack-DC,BarrelJack_Wuerth_6941xx301002,105.05,-53.3,180.0,top
J4,Jack-DC,BarrelJack_Wuerth_6941xx301002,130.8,-167.05,0.0,top
J5,Input,TerminalBlock_Altech_AK300-2_P5.00mm,98.265,-167.0,180.0,top
J6,Input,TerminalBlock_Altech_AK300-2_P5.00mm,91.885,-53.95,180.0,top
J7,Input,TerminalBlock_Altech_AK300-2_P5.00mm,129.4,-54.2,0.0,top
J8,INPUT,TerminalBlock_Altech_AK300-2_P5.00mm,118.865,-166.45,0.0,top
J9,jumper,PinHeader_1x02_P2.54mm_Vertical,108.55,-79.635,0.0,top
J10,Jack-DC,BarrelJack_Wuerth_6941xx301002,117.35,-53.2,180.0,top
J11,Input,TerminalBlock_Altech_AK300-2_P5.00mm,118.5,-69.05,0.0,top
J12,18650 holder,MYOUNG MY-18650-01,84.112,-115.2665,270.0,bottom
J13,jumper,PinHeader_1x02_P2.54mm_Vertical,100.7,-93.7,-90.0,top
J14,USB_C_Receptacle,MC-710,52.927,-148.179,-90.0,top
J15,connector,PinHeader_1x02_P2.54mm_Vertical,103.3,-136.3,0.0,top
J16,Input,TerminalBlock_Altech_AK300-2_P5.00mm,81.015,-166.85,0.0,top
L1,75u,L_Changjiang_FNR8040S,97.85,-68.95,90.0,top
L2,75u,L_Changjiang_FNR8040S,104.65,-155.35,90.0,top
Q1,2N7002,SOT-23,69.6125,-154.25,180.0,top
Q2,2N7002,SOT-23,69.6125,-150.8,180.0,top
Q3,IRFZ24NPBF,TO-247-3_Vertical,132.1375,-136.25,-90.0,top
Q5,2N7002,SOT-23,56.4,-136.0625,90.0,top
Q7,2N7002,SOT-23,118.6875,-120.45,0.0,top
Q8,IRF9530NPBF,TO-220-3_Vertical,132.15,-92.6,-90.0,top
Q10,IRFZ24NPBF,TO-247-3_Vertical,132.0975,-111.93,-90.0,top
R1,3k,R_0603_1608Metric,123.5,-135.7,90.0,top
R2,1k,R_0603_1608Metric,122.2,-123.75,-90.0,top
R3,10k,R_0603_1608Metric,60.9,-154.525,90.0,top
R4,470,R_0402_1005Metric,96.35,-109.25,90.0,top
R5,2k,R_0402_1005Metric,98.65,-108.55,0.0,top
R6,1k,R_0603_1608Metric,119.55,-134.7,-90.0,top
R7,3k,R_0603_1608Metric,123.7,-123.0,-90.0,top
R8,1k,R_0603_1608Metric,54.17,-82.945,180.0,top
R9,10k,R_0603_1608Metric,62.45,-154.525,90.0,top
